Level,Hierarchical structure,Code,Class title,Class definition
4,Unit group,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers","Automotive service technicians, truck and bus mechanics and mechanical repairers inspect, diagnose, repair and service mechanical, electrical and electronic systems and components of cars, buses, and light and commercial transport trucks. They are employed by motor vehicle dealers, garages, truck and trailer dealerships, fleet maintenance companies, and service stations, automotive specialty shops, transportation companies and retail establishments which have automotive service shops. This unit group also includes mechanical repairers who perform major repairs and replacement of mechanical units on newly assembled motor vehicles. They are employed by motor vehicle manufacturing companies."
4,Unit group,7322,Motor vehicle body repairers,"Motor vehicle body repairers repair and restore damaged motor vehicle body parts and interior finishing; repaint body surfaces; and repair and/or replace automotive glass. They are employed by automobile dealerships, automobile body repair shops and automobile appraisal centres. This unit group also includes metal repairers who repair defective automobile body parts and damage to the bodies of newly assembled cars. They are employed by motor vehicle manufacturers."
3,Minor group,733,Other mechanics and related repairers,"This minor group includes oil and solid fuel heating mechanics; appliance servicers and repairers; electrical mechanics; motorcycle, all-terrain vehicle and other related mechanics; and other small engine and small equipment repairers. They are employed by heating systems installation and service companies; repair shops, appliance service companies and repair departments of retail and wholesale establishments; independent electrical repair shops, service shops of electrical equipment manufacturers and maintenance departments of manufacturing companies; service shops of motorcycle dealers and retailers; other dealer service shops; and independent service establishments; or they may be self-employed."
4,Unit group,7331,Oil and solid fuel heating mechanics,"Oil and solid fuel heating mechanics install and maintain oil, coal and wood heating systems in residential and commercial buildings. They are employed by heating systems installation and service companies."
4,Unit group,7332,Appliance servicers and repairers,"Appliance servicers and repairers service and repair domestic and commercial appliances. They are employed by repair shops, appliance service companies and repair departments of retail and wholesale establishments, or they may be self-employed."
4,Unit group,7333,Electrical mechanics,"Electrical mechanics maintain, test, rebuild and repair electric motors, transformers, switchgear and other electrical apparatus. They are employed by independent electrical repair shops, service shops of electrical equipment manufacturers and maintenance departments of manufacturing companies."
4,Unit group,7334,"Motorcycle, all-terrain vehicle and other related mechanics","Motorcycle, all-terrain vehicle and other related mechanics test, repair and service motorcycles, motor scooters, snowmobiles, outboard motors, forklifts and all-terrain vehicles. They are employed by service shops of motorcycle dealers and retailers and by independent service establishments."
4,Unit group,7335,Other small engine and small equipment repairers,"Other small engine and small equipment repairers test, repair and service small gasoline and diesel-powered engines and equipment, such as garden tractors, lawn mowers and other related equipment. They are employed by dealer service shops and by independent service establishments."
3,Minor group,736,Train crew operating occupations,"This minor group includes railway and yard locomotive engineers, railway conductors and brakemen/women. They are employed by railway transport companies and industrial and commercial users of rail transport."
4,Unit group,7361,Railway and yard locomotive engineers,"Railway locomotive engineers operate railway locomotives to transport passengers and freight. They are employed by railway transport companies. Yard locomotive engineers operate locomotives within yards of railway, industrial or other establishments. They are employed by railway transport companies and industrial or commercial users of rail transport."
4,Unit group,7362,Railway conductors and brakemen/women,"Railway conductors co-ordinate and supervise the activities of passenger and freight train crew members. Brakemen check train brakes and other systems and equipment prior to train run, and assist railway conductors in activities en route. They are employed by railway transport companies."
3,Minor group,737,"Crane operators, drillers and blasters","This minor group includes crane operators; surface mining, quarrying and construction drillers and blasters; and water well drillers. They are employed by construction, industrial, cargo handling, railway, mining and quarrying companies; drilling and blasting and water well drilling contractors; and governments; or they may be self-employed."
4,Unit group,7371,Crane operators,"Crane operators operate cranes or draglines to lift, move, position or place machinery, equipment and other large objects at construction or industrial sites, ports, railway yards, surface mines and other similar locations. They are employed by construction, industrial, mining, cargo handling and railway companies."
4,Unit group,7372,"Drillers and blasters - surface mining, quarrying and construction","Drillers and blasters in surface mining, quarrying and construction operate mobile drilling machines to bore blast holes in open-pit mines and quarries and to bore holes for blasting and for building foundations at construction sites. Blasters in this unit group fill blast holes with explosives and detonate explosives to dislodge coal, ore and rock or to demolish structures. They are employed by mining, quarrying and construction companies and by drilling and blasting contractors."
4,Unit group,7373,Water well drillers,"Water well drillers operate a variety of mobile water well drilling rigs and equipment to drill and monitor residential, commercial and industrial water wells. They are employed by water well drilling contractors and governments, or they may be self-employed."
3,Minor group,738,"Printing press operators and other trades and related occupations, n.e.c.","This minor group includes printing press operators and other trades and related occupations, not elsewhere classified. They are employed by commercial printing companies; newspapers, magazines, and other publishing companies; establishments in the public and private sectors that have in-house printing departments; and a wide range of other establishments; or they may be self-employed."
4,Unit group,7381,Printing press operators,"Printing press operators set up and operate sheet and web-fed presses to print text, illustrations and designs on a wide variety of materials such as paper, plastic, glass, leather and metal. They are employed by commercial printing companies; newspapers, magazines, and other publishing companies; and establishments in the public and private sectors that have in-house printing departments."
4,Unit group,7384,"Other trades and related occupations, n.e.c.","Workers in other skilled trades occupations repair, service, install, calibrate or fabricate a variety of products, not elsewhere classified. This unit group also includes commercial divers. They are employed by a wide range of establishments, or they may be self-employed."
2,Major group,74,"Other installers, repairers and servicers and material handlers","This major group comprises other installer, material handler, repairer and servicer occupations with some secondary school education or on-the-job training. It includes other installers, repairers and servicers, longshore workers and material handlers."
3,Minor group,744,"Other installers, repairers and servicers",This minor group includes residential and commercial installers and servicers; waterworks and gas maintenance workers; pest controllers and fumigators; and other repairers and servicers. They are employed by companies specializing in specific product installation and service; water filtration and distribution plants and waste treatment plants; gas distribution companies; pest control companies; and product specialty repair shops and service establishments; or they may be self-employed.
4,Unit group,7441,Residential and commercial installers and servicers,"Residential and commercial installers and servicers install and service a wide variety of interior and exterior prefabricated products such as windows, doors, electrical appliances, water heaters, fences, play structures and septic and irrigation systems at residential, commercial or institutional properties. They are employed by companies specializing in specific product installation and service."
4,Unit group,7442,Waterworks and gas maintenance workers,Waterworks maintenance workers maintain and repair waterworks equipment and facilities. They are employed in water filtration and distribution plants and waste treatment plants. Gas maintenance workers check and perform routine maintenance and minor repairs to exterior and underground gas mains and distribution lines. They are employed by gas distribution companies.
4,Unit group,7444,Pest controllers and fumigators,"Pest controllers and fumigators inspect buildings and outside areas for pest infestation and spray chemical treatments to kill noxious and destructive insects, rodents and other pests or set cage traps to capture and remove animals. They are employed by pest control companies, or they may be self-employed."
4,Unit group,7445,Other repairers and servicers,"Other repairers and servicers repair and service a wide variety of products, such as cameras, scales, musical instruments, coin machines, vending machines, sporting goods and other miscellaneous products and equipment. They are employed by product specialty repair shops and service establishments."
3,Minor group,745,Longshore workers and material handlers,"This minor group includes longshore workers and material handlers. They are employed by marine cargo handling companies, shipping agencies and shipping lines; transportation, storage and moving companies; and a variety of manufacturing and processing companies and retail and wholesale warehouses."
4,Unit group,7451,Longshore workers,"Longshore workers transfer cargo throughout dock area and onto and from ships and other vessels. They are employed by marine cargo handling companies, shipping agencies and shipping lines."
4,Unit group,7452,Material handlers,"Material handlers handle, move, load and unload materials by hand or using a variety of material handling equipment. They are employed by transportation, storage and moving companies, and by a variety of manufacturing and processing companies and retail and wholesale warehouses."
2,Major group,75,Transport and heavy equipment operation and related maintenance occupations,"This major group comprises occupations in transport and heavy equipment operation and related maintenance which usually require completion of secondary school and a licence or certification. It includes motor vehicle and transit drivers, heavy equipment operators, other transport equipment operators and related maintenance workers."
3,Minor group,751,Motor vehicle and transit drivers,"This minor group includes transport truck drivers; bus drivers, subway operators and other transit operators; taxi and limousine drivers and chauffeurs; and delivery and courier service drivers. They are employed by transportation, manufacturing, distribution and moving companies and trucking employment service agencies; urban transit systems, school boards and transportation authorities and private transportation companies; taxi and other transportation service companies; businesses, governments and other organizations and private individuals and families; dairies, drug stores, newspaper distributors, take-out food establishments, dry cleaners, mobile caterers, courier and messenger service companies; and many other establishments; or they may be self-employed."
4,Unit group,7511,Transport truck drivers,"Transport truck drivers operate heavy trucks to transport goods and materials over urban, interurban, provincial and international routes. They are employed by transportation, manufacturing, distribution and moving companies, and trucking employment service agencies, or they may be self-employed. This unit group also includes drivers of special purpose trucks and shunters who move trailers to and from loading docks within trucking yards or lots."
4,Unit group,7512,"Bus drivers, subway operators and other transit operators","Bus drivers, subway operators and other transit operators drive buses and operate streetcars, subway trains and light rail transit vehicles to transport passengers on established routes. Bus drivers are employed by urban transit systems, school boards or transportation authorities and private transportation companies. Streetcar, subway and light rail transit operators are employed by urban transit systems."
4,Unit group,7513,Taxi and limousine drivers and chauffeurs,"Taxi and limousine drivers drive automobiles and limousines to transport passengers. Chauffeurs drive automobiles and limousines to transport personnel and visitors of businesses, government or other organizations or members of private households. Taxi and limousine drivers are employed by taxi and other transportation service companies, or they may be self-employed. Chauffeurs are employed by businesses, government and other organizations, or private individuals or families."
4,Unit group,7514,Delivery and courier service drivers,"Delivery and courier service drivers drive automobiles, vans and light trucks to pick up and deliver various products. They are employed by dairies, drug stores, newspaper distributors, take-out food establishments, dry cleaners, mobile caterers, courier and messenger service companies and many other establishments, or they may be self-employed."
3,Minor group,752,Heavy equipment operators,"This minor group includes heavy equipment operators (except crane) and public works maintenance equipment operators and related workers. They are employed by construction companies, heavy equipment contractors and pipeline, logging, cargo-handling and other companies; municipal, provincial and federal public works departments and private contractors under contract with government public works departments; and private companies involved in the collection of refuse and recyclable materials."
4,Unit group,7521,Heavy equipment operators (except crane),"Heavy equipment operators operate heavy equipment used in the construction and maintenance of roads, bridges, airports, gas and oil pipelines, tunnels, buildings and other structures; in surface mining and quarrying activities; and in material handling work. They are employed by construction companies, heavy equipment contractors, public works departments and pipeline, logging, cargo-handling and other companies."
4,Unit group,7522,Public works maintenance equipment operators and related workers,"Public works maintenance equipment operators and workers in related occupations operate vehicles and equipment to maintain streets, highways and sewer systems and operate trucks to collect garbage and recyclable materials. This unit group also includes workers who clear vegetation close to power lines, workers who inspect the condition of utility poles and workers who locate underground utility lines and pipes. They are employed by municipal, provincial and federal public works departments, private contractors under contract with government public works departments and private companies involved in the collection of refuse and recyclable materials."
3,Minor group,753,Other transport equipment operators and related maintenance workers,"This minor group includes railway yard and track maintenance workers; water transport deck and engine room crew; boat and cable ferry operators and related occupations; air transport ramp attendants; and other automotive mechanical installers and servicers. They are employed by railway and marine transport companies; the federal government; cable ferry companies, ferry terminals, marine companies and canal, port and harbour authorities; airline and air services companies; automobile and truck service and repair shops; service departments of industrial establishments; and construction, mining and logging companies; or they may be self-employed."
4,Unit group,7531,Railway yard and track maintenance workers,"Railway yard workers regulate yard traffic, couple and uncouple trains and perform related yard activities. Railway track maintenance workers operate machines and equipment to lay, maintain and repair railway tracks. They are employed by railway transport companies."
4,Unit group,7532,Water transport deck and engine room crew,"Water transport deck and engine room crew stand watch, operate and maintain deck equipment, perform other deck and bridge duties and assist ship engineer officers to operate, maintain and repair engines, machinery and auxiliary equipment aboard ships or self-propelled vessels. They are employed by marine transportation companies and federal government departments."
4,Unit group,7533,Boat and cable ferry operators and related occupations,"Boat and cable ferry operators and workers in related occupations operate lock gates, bridges and similar equipment along canal systems and operate cable ferries and ferry terminals. This unit group also includes boat operators, and owner-operators, who operate small motorboats or watercraft to transport passengers or freight. They are employed by the federal government, cable ferry companies, ferry terminals, marine companies and canal, port or harbour authorities. Owner-operators of small boats are self-employed."
4,Unit group,7534,Air transport ramp attendants,"Air transport ramp attendants operate ramp-servicing vehicles and equipment, handle cargo and baggage and perform other ground support duties at airports. They are employed by airline and air services companies and the federal government."
4,Unit group,7535,Other automotive mechanical installers and servicers,"Other automotive mechanical installers and servicers install replacement automotive mechanical parts such as mufflers, exhaust pipes, shock absorbers, springs and radiators and perform routine maintenance service such as oil changes, lubrication and tire repairs on automobiles, trucks and heavy equipment. They are employed by automobile and truck service and repair shops, service departments of industrial establishments and construction, mining and logging companies."
2,Major group,76,"Trades helpers, construction labourers and related occupations","This major group comprises trades helpers, construction labourers and related occupations with some experience or some secondary school, and may require certification. It includes trades helpers and labourers; and public works and other labourers not elsewhere classified."
3,Minor group,761,Trades helpers and labourers,"This minor group includes construction trades helpers and labourers, and other trades helpers and labourers. They are employed by construction companies; trade and labour contractors; surface mine and quarry operators; and a wide variety of manufacturing, utility and service companies."
4,Unit group,7611,Construction trades helpers and labourers,"Construction trades helpers and labourers assist skilled tradespersons and perform labouring activities at construction sites, in quarries and in surface mines. They are employed by construction companies, trade and labour contractors, and surface mine and quarry operators."
4,Unit group,7612,Other trades helpers and labourers,"Other trades helpers and labourers assist skilled tradespersons and perform labouring activities in the installation, maintenance and repair of industrial machinery, refrigeration, heating and air conditioning equipment, in the maintenance and repair of transportation and heavy equipment, in the installation and repair of telecommunication and power cables and in other repair and service work settings. They are employed by a wide variety of manufacturing, utility and service companies."
3,Minor group,762,"Public works and other labourers, n.e.c.","This minor group includes public works and maintenance labourers, and railway and motor transport labourers. They are employed by public works departments in all levels of government; private contractors under contract to governments; and railway and motor transport companies."
4,Unit group,7621,Public works and maintenance labourers,"Public works and maintenance labourers perform a variety of labouring activities to maintain sidewalks, streets, roads and similar areas. They are employed by public works departments in all levels of government or by private contractors under contract to governments."
4,Unit group,7622,Railway and motor transport labourers,"Railway and motor transport labourers perform a variety of tasks to assist track maintenance workers and railway yard workers, or motor transport operators. They are employed by railway transport companies and motor transport companies."
1,Broad occupational category,8,"Natural resources, agriculture and related production occupations","These occupations include supervisors and equipment operators in the natural resource-based sectors of mining, oil and gas production, forestry and logging, agriculture, horticulture and fishing. Most occupations in this category are industry specific and do not occur outside of the primary resources industries.  Occupations within this category generally require completion of college or vocational education programs. Some of these occupations, however, are characterized by on-the-job training and progression through experience."
2,Major group,82,"Supervisors and technical occupations in natural resources, agriculture and related production","This major group comprises supervisors and technical occupations in natural resources, agriculture and related production, which usually require completion of secondary school and experience, and may require a college diploma, college or industry courses, a licence or certification. It includes logging and forestry supervisors; contractors and supervisors in mining, oil and gas; underground miners, oil and gas drillers and workers in related occupations; logging machinery operators; contractors and supervisors in agriculture, horticulture and related operations and services; and fishing vessel masters and fishermen/women."
3,Minor group,821,"Supervisors, logging and forestry","This minor group includes supervisors in logging and forestry. They are employed by logging companies, contractors and government agencies."
4,Unit group,8211,"Supervisors, logging and forestry","Supervisors in logging and forestry supervise and co-ordinate the activities of workers engaged in logging operations and silvicultural operations. They are employed by logging companies, contractors and government agencies."
3,Minor group,822,"Contractors and supervisors, mining, oil and gas","This minor group includes supervisors in mining and quarrying; and contractors and supervisors in oil and gas drilling and services. They are employed by coal, metal and non-metallic mineral mines and quarries; drilling and well service contracting companies; and petroleum producing companies; or they may be self-employed."
4,Unit group,8221,"Supervisors, mining and quarrying","Supervisors in mining and quarrying supervise and co-ordinate activities of workers engaged in underground and surface mining operations and quarries. They are employed by coal, metal and non-metallic mineral mines and quarries."
4,Unit group,8222,"Contractors and supervisors, oil and gas drilling and services","Contractors and supervisors in oil and gas drilling and services supervise and co-ordinate the activities of workers engaged in drilling for oil or gas, operating service rigs, or providing oil and gas well services. They are employed by drilling and well service contracting companies and petroleum producing companies. Contractors may be self-employed."
3,Minor group,823,"Underground miners, oil and gas drillers and related occupations","This minor group includes underground production and development miners; and oil and gas well drillers, servicers, testers and related workers. They are employed by coal, metal and non-metallic mineral underground mines; specialized contractors in mine construction, shaft sinking and tunnelling; drilling and well service contractors; petroleum producing companies; and well logging and testing companies."
4,Unit group,8231,Underground production and development miners,"Underground production and development miners drill, blast, operate mining machinery, and perform related duties to extract coal and ore in underground mines and to construct tunnels, passageways and shafts to facilitate mining operations. They are employed by coal, metal and non-metallic mineral underground mines and by specialized contractors in mine construction, shaft sinking and tunnelling."
4,Unit group,8232,"Oil and gas well drillers, servicers, testers and related workers","Oil and gas well drillers and well servicers control the operation of drilling and hoisting equipment on drilling and service rigs, and direct the activities of the rig crew under supervision of the rig manager. Oil and gas well loggers, testers and related workers operate specialized mechanical or electronic equipment, tools or instruments to provide services in conjunction with well drilling, completion or servicing. They are employed by drilling and well service contractors, petroleum producing companies and well logging or testing companies."
3,Minor group,824,Logging machinery operators,This minor group includes logging machinery operators. They are employed by logging companies and contractors.
4,Unit group,8241,Logging machinery operators,"Logging machinery operators operate cable yarding systems, mechanical harvesters and forwarders and mechanical tree processors and loaders to fell, yard and process trees at logging sites. They are employed by logging companies and contractors."
3,Minor group,825,"Contractors and supervisors, agriculture, horticulture and related operations and services","This minor group includes agricultural service and landscaping and grounds maintenance contractors who own and operate their own businesses; farm supervisors and specialized livestock workers; and supervisors in landscaping, grounds maintenance and horticulture services. They are employed on livestock and other farms; by landscaping companies, cemeteries, lawn care and tree service companies, nurseries and greenhouses; and landscaping operations of public works departments and private establishments; or they may be self-employed."
4,Unit group,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers","Agricultural service contractors, provide agricultural services such as livestock and poultry breeding, soil preparation, crop planting, crop spraying, cultivating or harvesting. Farm supervisors supervise the work of general farm workers and harvesting labourers. Specialized livestock workers carry out feeding, health and breeding programs on dairy, beef, sheep, poultry, swine and other livestock farms. They are employed by farms and agricultural enterprises, or they may operate their own business."
4,Unit group,8255,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services","Contractors and supervisors, landscaping, grounds maintenance and horticulture services supervise and co-ordinate the activities of workers in the following unit groups: Nursery and Greenhouse Workers (8432) and Landscaping and Grounds Maintenance Labourers (8612). They are employed by landscaping companies, cemeteries, lawn care and tree service companies, nurseries and greenhouses and by landscaping operations of public works departments and private establishments or they may operate their own business."
3,Minor group,826,Fishing vessel masters and fishermen/women,This minor group includes fishing masters and fishing vessel officers; and fishermen/women who are usually self-employed owner-operators of fishing vessels. They are employed by establishments engaged in operating commercial fishing vessels; or they may be self-employed.
4,Unit group,8261,Fishing masters and officers,Fishing masters and officers manage and operate saltwater and freshwater fishing vessels greater than 100 gross tonnes to pursue and land fish and other marine life. They are employed by establishments engaged in operating commercial fishing vessels.
4,Unit group,8262,Fishermen/women,Fishermen/women operate fishing vessels less than 100 gross tonnes to pursue and land fish and other marine life. They are usually self-employed owner-operators of fishing vessels.
2,Major group,84,"Workers in natural resources, agriculture and related production","This major group comprises workers in natural resources, agriculture and related production occupations, which usually require completion of secondary school and some training, a licence or certification. It includes mine service workers and operators in oil and gas drilling; logging and forestry workers; agriculture and horticulture workers; and other workers in fishing, trapping and hunting occupations."
3,Minor group,841,Mine service workers and operators in oil and gas drilling,"This minor group includes underground mine service and support workers; and oil and gas well drilling and related workers and services operators. They are employed by coal, metal and non-metallic mineral mines; drilling and well service contractors; and petroleum producing companies."
4,Unit group,8411,Underground mine service and support workers,"Underground mine service and support workers perform a range of duties related to the operation of orepasses, chutes and conveyor systems, the construction and support of underground structures, passages and roadways, and the supply of materials and supplies to support underground mining. They are employed by coal, metal and non-metallic mineral mines."
4,Unit group,8412,Oil and gas well drilling and related workers and services operators,"Oil and gas well drilling workers operate drilling and service rig machinery as intermediate members of the rig crew. Oil and gas well services operators drive trucks and operate specialized hydraulic pumping systems to place cement in wells or to treat wells with chemicals, sand mixtures or gases to stimulate production. They are employed by drilling and well service contractors and by petroleum producing companies."
3,Minor group,842,Logging and forestry workers,"This minor group includes chain saw and skidder operators; and silviculture and forestry workers. They are employed by logging companies, contractors, and government services."
4,Unit group,8421,Chain saw and skidder operators,"Chain saw and skidder operators operate chain saws to fell, delimb and buck trees, and operate skidders to move or yard the felled trees from the logging site to the landing area for processing and transportation. They are employed by logging companies and contractors."
4,Unit group,8422,Silviculture and forestry workers,"Silviculture and forestry workers perform a variety of duties related to reforestation and to the management, improvement and conservation of forest lands. They are employed by logging companies, contractors and government services."
3,Minor group,843,Agriculture and horticulture workers,"This minor group includes general farm workers and nursery and greenhouse workers. They are employed on crop, livestock, fruit, vegetable and specialty farms; and in indoor and outdoor nurseries and greenhouses."
4,Unit group,8431,General farm workers,"General farm workers plant, cultivate and harvest crops, raise livestock and poultry and maintain and repair farm equipment and buildings. This unit group also includes operators of farm machinery. They are employed on crop, livestock, fruit, vegetable and specialty farms."
4,Unit group,8432,Nursery and greenhouse workers,"Nursery and greenhouse workers plant, cultivate and harvest trees, shrubs, flowers and plants, and serve nursery and greenhouse customers. They are employed in indoor and outdoor nurseries and greenhouses."
3,Minor group,844,Other workers in fishing and trapping and hunting occupations,This minor group includes fishing vessel deckhands; and trappers and hunters who are usually self-employed and work on a seasonal basis. They are employed by establishments that operate commercial fishing vessels; and fishermen/women who are usually self-employed owner-operators of fishing vessels; or they may be self-employed.
4,Unit group,8441,Fishing vessel deckhands,"Fishing vessel deckhands perform a variety of manual tasks on commercial fishing voyages, and maintain fishing vessels. They are employed by establishments that operate commercial fishing vessels and by self-employed fishermen/women."
4,Unit group,8442,Trappers and hunters,Trappers and hunters trap and hunt wild animals for pelts or live sale. They are usually self-employed and work on a seasonal basis.
2,Major group,86,"Harvesting, landscaping and natural resources labourers","This major group comprises labourers in harvesting, landscaping and natural resources occupations which may require certification, secondary school completion or some secondary school education. It includes harvesting, landscaping and natural resources labourers."
3,Minor group,861,"Harvesting, landscaping and natural resources labourers","This minor group includes harvesting labourers; landscaping and grounds maintenance labourers; aquaculture and marine harvest labourers; mine labourers; oil and gas drilling, servicing and related labourers; and logging and forestry labourers. They are employed by farms; landscaping and lawn care companies, golf courses, cemeteries, and landscaping operations of public works departments and private establishments; public and private fish hatcheries and commercial aquatic farms; coal, metal and non-metallic mineral mines; drilling and well servicing contractors and petroleum producing companies; and logging companies and contractors; or they may be self-employed."
4,Unit group,8611,Harvesting labourers,"Harvesting labourers assist other farm workers to harvest, sort and pack crops."
4,Unit group,8612,Landscaping and grounds maintenance labourers,"Landscaping and grounds maintenance labourers perform work to assist in the construction of landscapes and related structures, and to maintain lawns, gardens, athletic fields, golf courses, cemeteries, parks, landscaped interiors and other landscaped areas. They are employed by landscaping and lawn care companies, golf courses, cemeteries, and landscaping operations of public works departments and private establishments."
4,Unit group,8613,Aquaculture and marine harvest labourers,"Aquaculture and marine harvest labourers include aquaculture support workers, marine plant gatherers, shellfish diggers and other labourers in aquaculture and fishing. Aquaculture support workers are employed by public or private fish hatcheries and commercial aquatic farms. Marine plant gatherers and mollusk harvesters may be self-employed."
4,Unit group,8614,Mine labourers,"Mine labourers carry out a variety of general labouring duties to assist in the extraction of coal, minerals and ore, and in other services in support of underground mining. They are employed by coal, metal and non-metallic mineral mines."
4,Unit group,8615,"Oil and gas drilling, servicing and related labourers","Oil and gas drilling, servicing and related labourers carry out a variety of general labouring duties and operate equipment to assist in the drilling and servicing of oil and gas wells. This unit group also includes labourers who assist in geophysical prospecting for oil and gas. They are employed by drilling and well servicing contractors and by petroleum producing companies."
4,Unit group,8616,Logging and forestry labourers,"Logging and forestry labourers perform a variety of manual tasks such as attaching choker cables to logs, planting trees, clearing brush, spraying chemicals, cleaning up landing areas and assisting other workers in woodlands operations. They are employed by logging companies and contractors."
1,Broad occupational category,9,Occupations in manufacturing and utilities,"This category contains supervisory, production and labouring occupations in manufacturing, processing and utilities.  Occupations in this category are characterized by either technical training or internal progression, and on-the-job training. Process control occupations in this category are increasingly technical and post-secondary training is usually required. For many occupations in this category, workers typically start out as labourers and progress to machine operation occupations through experience. Progression to supervisory positions requires experience in the occupations supervised. Mobility in some of these occupations may be limited by seniority provisions of collective agreements, or may require additional training."
2,Major group,92,"Processing, manufacturing and utilities supervisors and central control operators","This major group comprises supervisors and central control operator occupations in processing, manufacturing and utilities which usually require completion of secondary school and several years of experience, and may require a college diploma, some postsecondary education, a licence or certification. This major group includes processing and manufacturing supervisors; assembly and fabrication supervisors; central control and process operators in processing and manufacturing; and utilities equipment operators and controllers."
3,Minor group,921,"Supervisors, processing and manufacturing occupations","This minor group includes supervisors in mineral and metal processing; petroleum, gas and chemical processing and utilities; food, beverage and associated products processing; plastic and rubber products processing; forest products processing; and textile, fabric, fur and leather products processing and manufacturing. They are employed by mineral ore and metal processing plants, cement processing plants, clay, glass and stone processing plants and foundries; petroleum and natural gas processing, pipeline and petrochemical companies, chemical and pharmaceutical companies, electric power utilities, and water and waste treatment utilities; fruit and vegetable processing plants, dairies, flour mills, bakeries, sugar refineries, fish plants, meat plants, breweries and other food, beverage and associated products processing establishments; rubber and plastic products manufacturing companies and in plastic parts divisions of other manufacturing companies; pulp and paper companies, paper converting companies, sawmills, planing mills, wood treatment plants, waferboard plants and other wood processing companies; and textile manufacturing companies, tanneries and other manufacturers of fabric, fur and leather products."
4,Unit group,9211,"Supervisors, mineral and metal processing","Supervisors in mineral and metal processing supervise and co-ordinate the activities of workers engaged in mineral and metal processing and manufacturing. They are employed in mineral ore and metal processing plants such as copper, lead and zinc refineries, uranium processing plants, steel mills, aluminum plants, precious metal refineries, cement processing plants, clay, glass and stone processing plants and foundries."
4,Unit group,9212,"Supervisors, petroleum, gas and chemical processing and utilities","Supervisors in petroleum, gas and chemical processing and utilities supervise and co-ordinate the activities of workers in the following unit groups: Petroleum, Gas and Chemical Process Operators (9232), Power Engineers and Power Systems Operators (9241), Water and Waste Treatment Plant Operators (9243).Chemical Plant Machine Operators (9421) and Labourers in Chemical Products Processing and Utilities (9613), They are employed by petroleum and natural gas processing, pipeline and petrochemical companies, chemical and pharmaceutical companies, electric power utilities, water and waste treatment utilities and in a range of other industries and institutions."
4,Unit group,9213,"Supervisors, food and beverage processing","Supervisors in food and beverage processing supervise and co-ordinate the activities of workers who operate processing and packaging machines, and workers who grade food and beverage products. They are employed in fruit and vegetable processing plants, dairies, flour mills, bakeries, sugar refineries, fish plants, meat plants, breweries and other food and beverage processing establishments."
4,Unit group,9214,"Supervisors, plastic and rubber products manufacturing","Supervisors in plastic and rubber products manufacturing supervise and co-ordinate the activities of workers who operate processing machines and who fabricate, assemble and inspect rubber or plastic products. They are employed by rubber and plastic products manufacturing companies and in plastic parts divisions of other manufacturing companies."
4,Unit group,9215,"Supervisors, forest products processing","Supervisors in forest products processing supervise and co-ordinate the activities of workers engaged in pulp and paper production and wood processing and manufacturing. They are employed by pulp and paper companies, paper converting companies, sawmills, planing mills, wood treatment plants, waferboard plants and other wood processing companies."
4,Unit group,9217,"Supervisors, textile, fabric, fur and leather products processing and manufacturing","Supervisors in textile, fabric, fur and leather products processing and manufacturing supervise and co-ordinate the activities of workers engaged in textile, fabric, fur and leather products processing and manufacturing. They are employed by textile manufacturing companies, tanneries and other manufacturers of fabric, fur and leather products."
3,Minor group,922,"Supervisors, assembly and fabrication","This minor group includes supervisors in motor vehicle assembling; electronics manufacturing; electrical products manufacturing; furniture and fixtures manufacturing; other mechanical and metal products manufacturing; and other products manufacturing and assembly. They are employed by plants that manufacture automobiles, vans and light trucks; electronics manufacturing plants; furniture and fixtures manufacturing establishments; companies that manufacture electrical products; and a wide variety of other manufacturing companies."
4,Unit group,9221,"Supervisors, motor vehicle assembling","Supervisors in motor vehicle assembling supervise and co-ordinate the activities of workers in motor vehicle production departments. They are employed in plants which manufacture automobiles, vans and light trucks."
4,Unit group,9222,"Supervisors, electronics manufacturing","Supervisors in electronics manufacturing supervise and co-ordinate the activities of workers who assemble, fabricate, test, repair and inspect electronic parts, components and systems. They are employed in electronics manufacturing plants."
4,Unit group,9223,"Supervisors, electrical products manufacturing","Supervisors in electrical products manufacturing supervise and co-ordinate the activities of workers who assemble, fabricate and inspect electrical components, appliances, motors and industrial equipment. They are employed by companies that manufacture electrical products."
4,Unit group,9224,"Supervisors, furniture and fixtures manufacturing",Supervisors in furniture and fixtures manufacturing supervise and co-ordinate the activities of workers who manufacture furniture and fixtures made of wood or other materials. They are employed in furniture and fixtures manufacturing establishments.
4,Unit group,9226,"Supervisors, other mechanical and metal products manufacturing","Supervisors in other mechanical and metal products manufacturing supervise and co-ordinate the activities of workers who fabricate, assemble and inspect mechanical and metal products, such as aircraft and aircraft parts, heavy trucks, buses, trailers, motor vehicle engines, transmissions, heating equipment, commercial refrigeration and similar metal products. They are employed by a wide variety of manufacturing companies."
4,Unit group,9227,"Supervisors, other products manufacturing and assembly","Supervisors in other products manufacturing and assembly supervise and co-ordinate the activities of workers who assemble, fabricate and inspect a variety of products, such as jewellery, clocks and watches, millwork, sporting goods, toys and other miscellaneous products. They are employed in a wide variety of manufacturing companies."
